Participant ID,/a/ Start,/a/ End,/i/ Start,/i/ End,blue Start,blue End,hard Start,hard End,away Start,away End,egg Start,egg End,lemon Start,lemon End,peter Start,peter End
LA9022,0,2.793,3.714,6.73,7.692,9.633,10.554,11.71,12.744,14.06,14.925,16.433,17.411,19.152,20.049,21.413
LA9023,0,2.63,3.585,6.059,7.015,9.062,9.62,10.828,11.452,12.94,13.403,15.295,15.794,17.473,17.907,19.747
LA9024,0,2.356,3.315,6.098,7.041,8.776,9.447,10.599,11.247,12.591,13.203,14.716,15.741,17.816,18.56,19.845
LA9025,0,2.693,3.603,5.955,6.906,9.275,9.705,11.196,11.973,13.762,14.556,16.411,17.495,19.359,20.575,22.298
LA9026,0,3.187,4.146,7.419,8.387,10.047,10.999,11.929,12.905,14.025,14.985,16.376,17.336,19.004,19.98,21.14
LA9027,,,0,3.669,4.612,6.741,7.119,9.735,10.329,12.04,12.526,15.119,15.474,17.618,18.561,20.558
LA90026,0.976,4.244,14.364,17.716,28.797,30.458,31.89,32.894,34.597,35.778,37.399,38.851,40.491,42.196,43.287,44.493
LA10001,0.873,4.337,6.513,10.319,11.458,14.3,15.512,16.819,17.679,19.401,20.478,22.252,23.318,24.968,25.9,27.498
NYU1001,16.666,21.79,,,3.764,5.82,6.404,8.103,1.081,2.708,9.144,10.829,11.842,13.741,14.083,15.596
NYU1002,21.385,1.46,,,3.461,7.06,8.236,10.658,0.957,2.715,11.718,14.024,15.035,17.092,18.102,20.64
NYU1003,16.961,18.91,,,3.713,5.78,6.761,8.382,1.007,2.747,9.303,11.089,12.099,14.003,14.611,16.545
NYU1004,22.12,26.692,,,18.114,21.165,0,1.89,14.242,17.143,2.895,5.527,6.666,8.98,9.968,13.539
NYU1005,18.113,22.025,,,2.942,5.211,6.164,7.949,0,1.975,8.944,10.812,11.793,13.606,14.573,17.188
NYU1006,16.617,21.839,,,2.656,4.728,5.838,7.718,0,1.684,8.718,10.378,11.378,13.121,14.162,15.658
NYU1007,16.325,19.865,,,2.454,4.638,5.622,7.22,0,1.519,8.204,9.877,10.874,12.534,13.556,15.378
NYU1008,17.616,20.422,,,2.792,5.434,6.459,8.32,0,1.831,9.281,11.077,12.038,13.95,14.936,16.656
NYU1009,0,4.901,,,17.834,19.785,20.375,22.165,15.512,17.333,22.796,24.278,24.633,26.237,26.608,28.131
NYU1010,0,3.789,,,13.248,15.293,16.225,17.514,10.942,12.446,18.082,19.502,20.518,22.367,23.159,25.269
NYU1011,,,,,,,,,,,,,,,,
NYU1012,,,,,,,,,,,,,,,,
NYU1013,,,,,,,,,,,,,,,,
NYU1014,,,,,,,,,,,,,,,,
NYU1015,,,,,,,,,,,,,,,,
